ID Factura,Sucursal,Ciudad,Tipo Cliente,Sexo,Linea de Producto,Precio Unitario,Cantidad,Tax 5%,Total,Fecha,Hora,Tipo Pago,cogs,porcentaje de margen bruto,ingreso bruto,Rating
750-67-8428,Sur,San Cristobal,Miembro,Femenino,Salud y Belleza,74.69,7,26.1415,548.9715,1/5/2019,13:08,Cheque,522.83,4.761904762,26.1415,9.1
226-31-3081,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,15.28,5,3.82,80.22,3/8/2019,10:29,Efectivo,76.4,4.761904762,3.82,9.6
631-41-3108,Sur,San Cristobal,Normal,Masculino,Hogar y Estilo de Vida,46.33,7,16.2155,340.5255,3/3/2019,13:23,Tarjeta de Credito,324.31,4.761904762,16.2155,7.4
123-19-1176,Sur,San Cristobal,Miembro,Masculino,Salud y Belleza,58.22,8,23.288,489.048,1/27/2019,20:33,Cheque,465.76,4.761904762,23.288,8.4
373-73-7910,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,86.31,7,30.2085,634.3785,2/8/2019,10:37,Cheque,604.17,4.761904762,30.2085,5.3
699-14-3026,Norte,Santiago,Normal,Masculino,Accesorios Electronicos,85.39,7,29.8865,627.6165,3/25/2019,18:30,Cheque,597.73,4.761904762,29.8865,4.1
355-53-5943,Sur,San Cristobal,Miembro,Femenino,Accesorios Electronicos,68.84,6,20.652,433.692,2/25/2019,14:36,Cheque,413.04,4.761904762,20.652,5.8
315-22-5665,Norte,Santiago,Normal,Femenino,Hogar y Estilo de Vida,73.56,10,36.78,772.38,2/24/2019,11:38,Cheque,735.6,4.761904762,36.78,8
665-32-9167,Sur,San Cristobal,Miembro,Femenino,Salud y Belleza,36.26,2,3.626,76.146,1/10/2019,17:15,Tarjeta de Credito,72.52,4.761904762,3.626,7.2
692-92-5582,Este,Punta Cana,Miembro,Femenino,Alimentos y Bebidas,54.84,3,8.226,172.746,2/20/2019,13:27,Tarjeta de Credito,164.52,4.761904762,8.226,5.9
